PollingPlace,Address
Lilyfield,"Orange Grove Public School, 31 Perry St, LILYFIELD NSW 2040"
Lilyfield North,"The Jimmy Little Community Centre, 19 Cecily St, LILYFIELD NSW 2040"
Marrickville,"Marrickville Town Hall, 305-307 Marrickville Rd, MARRICKVILLE NSW 2204"
Marrickville Central,"Marrickville Public School, 116 Chapel St, MARRICKVILLE NSW 2204"
Marrickville East,"St Nicholas, 203-207 Livingstone Rd, MARRICKVILLE NSW 2204"
Marrickville GRAYNDLER PPVC,"Marrickville Town Hall, 303 Marrickville Rd, MARRICKVILLE NSW 2204"
Marrickville North,"Wilkins Public School, 31 Park Rd, MARRICKVILLE NSW 2204"
Marrickville Park (Grayndler),"Marrickville Uniting Church, Thomas Roseby Lodge, 388-390 Illawarra Rd, MARRICKVILLE NSW 2204"
Marrickville West (Grayndler),"Marrickville West Public School, cnr Beauchamp St & Livingstone Rd, MARRICKVILLE NSW 2204"
Newtown East (Grayndler),"Newtown Public School, 1 Norfolk St, NEWTOWN NSW 2042"
Newtown GRAYNDLER PPVC,"St Luke's Anglican Church, 11 Stanmore Rd, ENMORE NSW 2042"
Newtown North (Grayndler),"Newtown Mission, 280A King St, NEWTOWN NSW 2042"
Newtown South,"Camdenville Public School, 2 Laura St, NEWTOWN NSW 2042"
Petersham,"All Saints Anglican Church, 325 Stanmore Rd, PETERSHAM NSW 2049"
Petersham East,"TAFE NSW Petersham College, 27 Crystal St, PETERSHAM NSW 2049"
Rozelle,"Rozelle Public School, 663 Darling St, ROZELLE NSW 2039"
Rozelle Central,"Hannaford Community Centre, 608 Darling St, ROZELLE NSW 2039"
Rozelle East,"Inner Sydney Montessori School, 44 Smith St, ROZELLE NSW 2039"
St Peters,"St Peters Public School, 93 Church St, ST PETERS NSW 2044"
Stanmore,"Stanmore Public School, 100 Cambridge St, STANMORE NSW 2048"
Stanmore North,"Stanmore Baptist Church, 140 Albany Rd, STANMORE NSW 2048"
Summer Hill,"Ground Floor, 18 Flour Mill Way, Summer Hill, Ground Floor, 18 Flour Mill Way, SUMMER HILL NSW 2130"
Summer Hill South,"Summer Hill Public School, cnr Moonbie St & Junction Rd, SUMMER HILL NSW 2130"
Sydenham,"St Peters Town Hall, 39 Unwins Bridge Rd, SYDENHAM NSW 2044"
Sydney (Grayndler),"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Sydney GRAYNDLER PPVC,"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Acacia Gardens,"Quakers Hill East Public School, 14 Chase Dr, ACACIA GARDENS NSW 2763"
Baulkham Hills GREENWAY PPVC,"2 Solent Cct, NORWEST NSW 2153"
Blacktown,"Mitchell High School, Keyworth Dr, BLACKTOWN NSW 2148"
Blacktown East,"Shelley Public School, 21 Hadrian Ave, BLACKTOWN NSW 2148"
Blacktown GREENWAY PPVC,"Blacktown TAFE Maria Lock Centre, Main St, BLACKTOWN NSW 2148"
Blacktown North,"Blacktown Boys High School, 15 Fifth Ave, BLACKTOWN NSW 2148"
Blacktown South (Greenway),"Blacktown South Public School, 183 Flushcombe Rd, BLACKTOWN NSW 2148"
Central Sydney GREENWAY PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
EAV COVID19 Greenway PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Greenway PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Girraween,"Girraween Public School, 9 Bando Rd, GIRRAWEEN NSW 2145"
Girraween West,"Girraween High School, 110 Gilba Rd, GIRRAWEEN NSW 2145"
Glenwood,"Parklea Public School, 205 Glenwood Park Dr, GLENWOOD NSW 2768"
Glenwood Central,"Glenwood Community Hub, 72 Glenwood Park Dr, GLENWOOD NSW 2768"
Glenwood South,"Glenwood High School, 85 Forman Ave, GLENWOOD NSW 2768"
Glenwood West,"Caddies Creek Public School, 21 Glenwood Park Dr, GLENWOOD NSW 2768"
Haymarket GREENWAY PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Kellyville Ridge,"Kellyville Ridge Public school, 4 Greenwich St, KELLYVILLE RIDGE NSW 2155"
Kings Langley,"Kings Langley Public School, 68 Isaac Smith Pde, KINGS LANGLEY NSW 2147"
Kings Langley North,"Vardys Road Public School, 20 Vardys Rd, KINGS LANGLEY NSW 2147"
Kings Park,"Kings Park Community Church, Unit 1/13 Turbo Rd, KINGS PARK NSW 2148"
Lalor Park,"Lalor Park Public School, 72 Heffron Rd, LALOR PARK NSW 2147"
Lalor Park North,"Lynwood Park Public School, 87 Turner St, BLACKTOWN NSW 2148"
Parramatta GREENWAY PPVC,"33-35 Dixon St, PARRAMATTA NSW 2150"
Pendle Hill (Greenway),"Pendle Hill Public School, 27-29 Pendle Way, PENDLE HILL NSW 2145"
Pendle Hill Central (Greenway),"Pendle Hill Baptist Church, 52 Pendle Way, PENDLE HILL NSW 2145"
Prospect West,"St John Ambulance Hall, 83 Myrtle St, PROSPECT NSW 2148"
Quakers Hill East (Greenway),"Quakers Hill High School, 70 Lalor Rd, QUAKERS HILL NSW 2763"
Quakers Hill North,"Barnier Public School, 120 Barnier Dr, QUAKERS HILL NSW 2763"
Quakers Hill West,"Hambledon Public School, 35 Bali Dr, QUAKERS HILL NSW 2763"
Riverstone,"Sam Lane Community Complex, Park St, RIVERSTONE NSW 2765"
Riverstone East,"Riverstone High School, 71 McCulloch St, RIVERSTONE NSW 2765"
Schofields (Greenway),"Schofields Public School, 60 St Albans Rd, SCHOFIELDS NSW 2762"
Schofields PPVC,"Riverstone Senior Citizens Hall, 9 Park St, RIVERSTONE NSW 2765"
Schofields South,"Galungara Public School, 95 Farmland Dr, SCHOFIELDS NSW 2762"
Seven Hills,"William Rose Public School, Hope St, SEVEN HILLS NSW 2147"
Seven Hills Central,"The Hills Sports School High, 56 Best Rd, SEVEN HILLS NSW 2147"
Seven Hills East,"Seven Hills High School, 47 Johnson Ave, SEVEN HILLS NSW 2147"
Seven Hills Heights,"Bert Oldfield Public School, Oldfield Rd, SEVEN HILLS NSW 2147"
Seven Hills North,"Seven Hills North Public School, 45 Beethoven St, SEVEN HILLS NSW 2147"
Seven Hills South,"Grantham Heights Uniting Church, 19 Nipigon Rd, SEVEN HILLS NSW 2147"
Seven Hills West,"Seven Hills West Public School, Sackville St, SEVEN HILLS NSW 2147"
Stanhope Gardens,"Blacktown Leisure Centre, Stanhope Pkwy and Sentry Dr, STANHOPE GARDENS NSW 2768"
Stanhope Gardens North,"St John XXIII Catholic Primary School, 160 Perfection Ave, STANHOPE GARDENS NSW 2768"
Sydney GREENWAY PPVC,"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
The Ponds,"John Palmer Public School, 85 The Ponds Blvd, THE PONDS NSW 2769"
The Ponds GREENWAY PPVC,"Blacktown Leisure Centre, Stanhope Pkwy & Sentry Dr, STANHOPE GARDENS NSW 2768"
The Ponds North,"The Ponds School, 201 The Ponds Blvd, THE PONDS NSW 2769"
The Ponds West,"The Ponds High School, 180 Riverbank Dr, THE PONDS NSW 2769"
Toongabbie,"Metella Road Public School, 117-131 Metella Rd, TOONGABBIE NSW 2146"
Vineyard East (Greenway),"Natasha's Arts Theatre, 74 Edward St, RIVERSTONE NSW 2765"
Alfords Point,"Alfords Point Public School, 2C Brushwood Dr, ALFORDS POINT NSW 2234"
Bangor,"Bangor Primary School, 130 Menai Rd, BANGOR NSW 2234"
Bangor North,"Inaburra School, 85 Billa Rd, BANGOR NSW 2234"
Bangor South,"Bangor Scout Hall, 35 Pyree St, BANGOR NSW 2234"
Barden Ridge,"Lucas Heights Community School, 132 Old Illawarra Rd, BARDEN RIDGE NSW 2234"
Bonnet Bay,"Bonnet Bay Public School, 34R Tudar Rd, BONNET BAY NSW 2226"
Bundeena,"Bundeena Public School, 48R Scarborough St, BUNDEENA NSW 2230"
Central Sydney HUGHES PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Como West,"Como West Public School, 70 Wolger St, COMO NSW 2226"
EAV COVID19 Hughes PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Hughes PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Engadine,"Engadine Public School, 1A Waratah Rd, ENGADINE NSW 2233"
Engadine East,"Engadine High School, 2 Porter Rd, ENGADINE NSW 2233"
Engadine HUGHES PPVC,"51 Station St, ENGADINE NSW 2233"
Engadine North,"Marton Public School, 107 Kingswood Rd, ENGADINE NSW 2233"
Engadine South,"St John Bosco Catholic Primary School, 109-111 Banksia Ave, ENGADINE NSW 2233"
Engadine West,"Engadine West Public School, 4 Buckle Ave, ENGADINE NSW 2233"
Grays Point,"Grays Point Public School, 109 Angle Rd, GRAYS POINT NSW 2232"
Hammondville,"Hammondville Public School, 53 Walder Rd, HAMMONDVILLE NSW 2170"
Haymarket HUGHES PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Heathcote,"Heathcote Public School, 30R Rosebery St, HEATHCOTE NSW 2233"
Heathcote East,"Heathcote High School, 32-78 Wilson Pde, HEATHCOTE NSW 2233"
Holsworthy,"Holsworthy Public School, 36 Infantry Pde, HOLSWORTHY NSW 2173"
Holsworthy West,"Holsworthy High School, Huon Cres, HOLSWORTHY NSW 2173"
Illawong,"Illawong Public School, 276 Fowler Rd, ILLAWONG NSW 2234"
Illawong North,"Illawong Community Centre, 273 Fowler Rd, ILLAWONG NSW 2234"
Jannali East,"Jannali East Public School, 500 Box Rd, JANNALI NSW 2226"
Jannali West,"The Jannali High School, 156-170 Sutherland Rd, JANNALI NSW 2226"
Kareela,"Kareela Public School, 53 Freya St, KAREELA NSW 2232"
Kirrawee (Hughes),"Kirrawee Public School, 146-156 Bath Rd, KIRRAWEE NSW 2232"
Kirrawee South,"Kirrawee High School, 21 Hunter St, KIRRAWEE NSW 2232"
Liverpool HUGHES PPVC,"112 Moore St, LIVERPOOL NSW 2170"
Loftus,"Loftus Public School, 103 National Ave, LOFTUS NSW 2232"
Menai,"Menai Public School, 4R Hall Dr, MENAI NSW 2234"
Menai Central,"Menai Community Centre, 34 Allison Cres, MENAI NSW 2234"
Menai North,"Tharawal Primary School, 70 Gerald Rd, ILLAWONG NSW 2234"
Miranda HUGHES PPVC,"Kiora Mall, 29 Kiora Rd, MIRANDA NSW 2228"
Moorebank,"Nuwarra Public School, 11 McKay Ave, MOOREBANK NSW 2170"
Moorebank East,"Moorebank Community Centre, cnr Maddecks Ave & Nuwarra Rd, MOOREBANK NSW 2170"
Oyster Bay,"Oyster Bay Public School, 1 Short St, OYSTER BAY NSW 2225"
Oyster Bay North,"Oyster Bay Community Hall, 117 Como Rd, OYSTER BAY NSW 2225"
Sutherland,"Sutherland Uniting Church Hall, 9 Merton St, SUTHERLAND NSW 2232"
Sutherland East,"Sutherland Presbyterian Church Hall, 90 Glencoe St, SUTHERLAND NSW 2232"
Sutherland North,"Sutherland North Public School, 12-18 Auburn St, SUTHERLAND NSW 2232"
Sydney HUGHES PPVC,"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Wattle Grove,"Wattle Grove Community Centre - Static, 8 Village Way, WATTLE GROVE NSW 2173"
Wattle Grove PPVC,"Wattle Grove Community Centre, 8 Village Way, WATTLE GROVE NSW 2173"
Wattle Grove South,"Wattle Grove Public School, Cressbrook Dr, WATTLE GROVE NSW 2173"
Woronora Heights,"Woronora Heights Community Centre, 67A Warrangarree Dr, WORONORA HEIGHTS NSW 2233"
Woronora River,"Woronora River Public School, 113A Prices Crct, WORONORA NSW 2232"
Yarrawarrah,"Yarrawarrah Public School, 43 Old Bush Rd, YARRAWARRAH NSW 2233"
Appin,"Appin Public School, 97 Appin Rd, APPIN NSW 2560"
Bargo,"Bargo Community Hall, 96 Radnor Rd, BARGO NSW 2574"
Bargo Central,"Bargo Public School, Great Southern Rd, BARGO CENTRAL NSW 2574"
Bigga,"Bigga Memorial Hall, 28 Binda St, BIGGA NSW 2583"
Binda,"Binda Public School, 21 Queen St, BINDA NSW 2583"
Boorowa,"Boorowa Central School, 31-49 Pudman St, BOOROWA NSW 2586"
Bowral HUME PPVC,"Bowral Senior Citizens Hall, Corbett Gardens, Wingecarribee St, BOWRAL NSW 2576"
Bradfordville,"Bradfordville Public School, 10 Hampden St, BRADFORDVILLE NSW 2580"
Bringelly (Hume),"Bringelly Community Centre, 5 Greendale Rd, BRINGELLY NSW 2556"
Bundanoon,"Bundanoon Public School, 6-14 Church St, BUNDANOON NSW 2578"
Bungonia,"Bungonia Progress Association Hall, 42-44 King St, BUNGONIA NSW 2580"
Buxton,"Buxton Public School, 31 Hassall Rd, BUXTON NSW 2571"
Camden,"Camden Public School, 25 John St, CAMDEN NSW 2570"
Camden East,"Mawarra Public School, 68 Macarthur Rd, CAMDEN EAST NSW 2570"
Camden HUME PPVC,"Camden Civic Centre, cnr Oxley St & Mitchell St, CAMDEN NSW 2570"
Camden South,"Camden South Public School, 66-68 Old Hume Hwy, CAMDEN SOUTH NSW 2570"
Campbelltown HUME PPVC,"Campbelltown Civic Centre, 91 Queen St, CAMPBELLTOWN NSW 2560"
Canyonleigh,"Canyonleigh Community Hall, 2230 Canyonleigh Rd, CANYONLEIGH NSW 2577"
Cawdor,"Cawdor Public School, 685 Cawdor Rd, CAWDOR NSW 2570"
Cobbitty,"Cobbitty Public School, 306 Cobbitty Rd, COBBITTY NSW 2570"
Cobbitty East (Hume),"Macarthur Anglican School, 605 Cobbitty Rd, COBBITTY EAST NSW 2570"
Collector,"Collector Memorial Hall, 1 Brennan St, COLLECTOR NSW 2581"
Colo Vale,"Colo Vale Community Centre, 26-28 Railway Ave, COLO VALE NSW 2575"
Crookwell,"Crookwell Public School, 43 Denison St, CROOKWELL NSW 2583"
Dalton,"Dalton Public Hall, 11 Chapel St, DALTON NSW 2581"
Douglas Park,"Douglas Park Community Centre, 195 Camden Rd, DOUGLAS PARK NSW 2569"
EAV COVID19 Hume PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Hume PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Elderslie Central,"Elderslie Public School, 170A Lodges Rd, ELDERSLIE CENTRAL NSW 2570"
Exeter,"Exeter Public School, 59 School La, EXETER NSW 2579"
Goulburn,"Wesley Centre, 43 Goldsmith St, GOULBURN NSW 2580"
Goulburn Heights,"Mulwaree High School, 40 McDermott, GOULBURN NSW 2580"
Goulburn North,"St Joseph's Primary School, 118 Reynolds St, GOULBURN NORTH NSW 2580"
Goulburn PPVC,"St Saviours Hall, 170 Bourke St, GOULBURN NSW 2580"
Goulburn South,"George Simes Memorial Scout Centre, 19-30 Addison St, GOULBURN SOUTH NSW 2580"
Goulburn West,"Goulburn West Public School, 106 Combermere St, GOULBURN WEST NSW 2580"
Grabben Gullen,"Grabben Gullen Public Hall, Camp St, GRABBEN GULLEN NSW 2583"
Gunning,"Gunning Public School, 96 Yass St, GUNNING NSW 2581"
Hill Top,"Hill Top Public School, 11 Linda St, HILL TOP NSW 2575"
Laggan,"Laggan Public School, Laggan Rd, LAGGAN NSW 2583"
Luddenham,"Luddenham Public School, 24 Jamison St, LUDDENHAM NSW 2745"
Marulan,"Marulan Community Centre, 70 George St, MARULAN NSW 2579"
Menangle Park (Hume),"Broughton Anglican College, 81 Menangle Rd, MENANGLE PARK NSW 2563"
Mittagong (Hume),"Mittagong Public School, 21 Pioneer St, MITTAGONG NSW 2575"
Mount Annan,"Mount Annan Public School, 12 Stenhouse Dr, MOUNT ANNAN NSW 2567"
Mount Annan Central,"Mount Annan High School, 248 Welling Dr, MOUNT ANNAN CENTRAL NSW 2567"
Mount Annan PPVC,"Birriwa Reserve Clubhouse, Waterworth Dr, MOUNT ANNAN NSW 2567"
Mount Hunter,"Mount Hunter Public School, 165 Burragorang Rd, MOUNT HUNTER NSW 2570"
Narellan,"Yandelora School SSP, 1 Richardson Rd, NARELLAN NSW 2567"
Narellan Vale,"Elizabeth Macarthur High School, 38 Waterworth Dr, NARELLAN VALE NSW 2567"
Narellan Vale Central,"St Clare's Primary School, 59 Holdsworth Dr, NARELLAN VALE CENTRAL NSW 2567"
Oakdale,"Oakdale Public School, 1530 Burragorang Rd, OAKDALE NSW 2570"
Orangeville,"Camden County Uniting Church, 440 Silverdale Rd, ORANGEVILLE NSW 2570"
Oran Park HUME PPVC,"Oran Park Library, Oran Park Library, Sandown Rooms, 72 Central Ave, ORAN PARK NSW 2570"
Penrith HUME PPVC,"Penrith CBD Shopfront, 465 High St, PENRITH NSW 2750"
Picton,"Picton Public School, 27 Lumsdaine St, PICTON NSW 2571"
Rye Park,"Rye Park Public School, 2-4 Yass St, RYE PARK NSW 2586"
Silverdale,"Silverdale Progress Hall, 1984 Silverdale Rd, SILVERDALE NSW 2752"
Special Hospital Team 1 (6),"Carrington Nursing Home, 90 Werombi Rd, GRASMERE NSW 2570"
Spring Farm,"Spring Farm Public School, 26-36 Springs Rd, SPRING FARM NSW 2570"
Tahmoor,"Tahmoor Public School, Bronzewing St, TAHMOOR NSW 2573"
Tallong,"Tallong Memorial Hall, 2-8 Memorial Dr, TALLONG NSW 2579"
Tarago,"Tarago Town Hall, 18 Wallace St, TARAGO NSW 2580"
Taralga,"Taralga Memorial Hall, 23 Orchard St, TARALGA NSW 2580"
The Oaks,"The Oaks Public School, 5 Burragorang Rd, THE OAKS NSW 2570"
Thirlmere,"Thirlmere Public School, 10 Oaks St, THIRLMERE NSW 2572"
Wallacia,"Wallacia Public School, 1573-1585 Mulgoa Rd, WALLACIA NSW 2745"
Warragamba,"Warragamba Public School, 2 Weir Rd, WARRAGAMBA NSW 2752"
Wilton,"Wilton Public School, 11 Greenbridge Dr, WILTON NSW 2571"
Wingello,"Wingello Mechanics Institute Hall, 65 Railway Pde, WINGELLO NSW 2579"
Yanderra,"Yanderra Public School, 29-31 Harley St, YANDERRA NSW 2574"
Yerrinbool,"Yerrinbool Community Hall, 45 Everest St, YERRINBOOL NSW 2575"
Aberdare,"Cessnock High School, 49 Aberdare Rd, CESSNOCK NSW 2325"
Arcadia Vale,"Arcadia Vale Public School, 31 Glade St, ARCADIA VALE NSW 2283"
Argenton,"Argenton Community Hall, 7 Elizabeth St, ARGENTON NSW 2284"
Barnsley,"Barnsley Public School, 6 Cliffbrook St, BARNSLEY NSW 2278"
Bellbird,"Bellbird Public School, 13 Doyle St, BELLBIRD NSW 2325"
Biraban,"Biraban Public School, 2 Beckley St, TORONTO NSW 2283"
Blackalls,"Blackalls Park Public School, 43 Charles St, BLACKALLS PARK NSW 2283"
Bonnells Bay,"Bonnells Bay Public School, Morisset Park Rd, BONNELLS BAY NSW 2264"
Booragul,"Booragul Public School, Aspinall St, BOORAGUL NSW 2284"
Branxton,"Branxton Community Hall, 35 Bowen St, BRANXTON NSW 2335"
Broke,"Broke Public School, 18-26 Cochrane St, BROKE NSW 2330"
Cameron Park,"Cameron Park Community Centre, 107 Northlakes Dr, CAMERON PARK NSW 2285"
Cessnock East,"Cessnock East Public School, 347 Old Maitland Rd, CESSNOCK NSW 2325"
Cessnock HUNTER PPVC,"Cessnock Performing Arts Centre, 198 Vincent St, CESSNOCK NSW 2325"
Cessnock North,"North Cessnock Community Hall, 78 Church St, CESSNOCK NSW 2325"
Cessnock West,"Cessnock West Public School, cnr Wollombi Rd & Campbell St, CESSNOCK NSW 2325"
Charlestown HUNTER PPVC,"224 Pacific Highway, 224 Pacific Hwy, CHARLESTOWN NSW 2290"
Coal Point,"Coal Point Public School, 166 Coal Point Rd, COAL POINT NSW 2283"
Cooranbong,"Cooranbong Public School, 3 Government Rd, COORANBONG NSW 2265"
Cooranbong PPVC,"Cooranbong Community Services Centre, 614 Freemans Dr, COORANBONG NSW 2265"
Denman,"Denman Anglican Parish Hall, 50 Palace St, DENMAN NSW 2328"
Dora Creek,"Dora Creek Community Hall, 2 Doree Pl, DORA CREEK NSW 2264"
East Maitland HUNTER PPVC,"Living Hope Maitland Church of Christ, cnr Garnett Rd & Mitchell Dr, EAST MAITLAND NSW 2323"
EAV COVID19 Hunter PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
EAV Hunter PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
Edgeworth,"Edgeworth Public School, cnr Oakville Rd & Minmi Rd, EDGEWORTH NSW 2285"
Edgeworth Heights,"Edgeworth Heights Public School, 1 Crest Ave, EDGEWORTH NSW 2285"
Edgeworth HUNTER PPVC,"Pasterfield Sports Complex, 18C Horizon Ave, CAMERON PARK NSW 2285"
Elderslie,"Elderslie Community Hall, 758 Elderslie Rd, ELDERSLIE NSW 2335"
Elermore Vale (Hunter),"Elermore Vale Public School, Jubilee Rd, ELERMORE VALE NSW 2287"
Ellalong,"Ellalong Public School, 32 Helena St, ELLALONG NSW 2325"
Fassifern,"Fassifern Public School, 9 Miller Rd, FASSIFERN NSW 2283"
Fennell Bay,"Fennell Bay Public School, 2 Bay Rd, FENNELL BAY NSW 2283"
Glendale,"Glendale East Public School, 8 Margot Ave, GLENDALE NSW 2285"
Glendon,"Glendon School of Arts, 897 Glendon Rd, GLENDON NSW 2330"
Greta,"Greta Arts & Sports Community Hall, 1 Water St, GRETA NSW 2334"
Jerrys Plains,"Jerrys Plains School of Arts, Wambo St, JERRYS PLAINS NSW 2330"
Kearsley,"Kearsley Public School, 130 Caledonia St, KEARSLEY NSW 2325"
Kilaben Bay,"Kilaben Bay Community Hall, 132a Kilaben Rd, KILABEN BAY NSW 2283"
Kitchener,"Kitchener Public School, 38 Richmond St, KITCHENER NSW 2325"
Kurri Kurri HUNTER PPVC,"Kurri Kurri Senior Citizens Centre, 132 Barton St, KURRI KURRI NSW 2327"
Lower Belford,"Kirkton Public School, 797 Standen Dr, LOWER BELFORD NSW 2335"
Milbrodale,"Milbrodale Public School, 2615 Putty Rd, MILBRODALE NSW 2330"
Millfield,"Millfield Public School, 105 Wollombi Rd, MILLFIELD NSW 2325"
Morisset,"Morisset Public School, 6 Terrigal St, MORISSET NSW 2264"
Morisset Peninsula,"South Lake Macquarie Amateur Sailing Club, 1a Sunshine Pde, SUNSHINE NSW 2264"
Mulbring,"Mulbring Public School, 22 Water St, MULBRING NSW 2323"
Muswellbrook,"Stan Thiess Memorial Cntr, Victoria Park, 173 Hill St, MUSWELLBROOK NSW 2333"
Muswellbrook East,"Muswellbrook Indoor Sports Centre, Rutherford Rd, MUSWELLBROOK NSW 2333"
Muswellbrook HUNTER PPVC,"Stan Thiess Memorial Centre, Victoria Park, 173 Hill St, MUSWELLBROOK NSW 2333"
Newcastle HUNTER PPVC,"2/239 King Street, 2/239 King St, NEWCASTLE NSW 2300"
North Rothbury,"North Rothbury Bush Fire Brigade Station, 5 Rothbury St, NORTH ROTHBURY NSW 2335"
Nulkaba,"Nulkaba Public School, 5 O'Connors Rd, NULKABA NSW 2325"
Pokolbin,"Pokolbin Bush Fire Brigade Station, 126 McDonalds Rd, POKOLBIN NSW 2320"
Rathmines,"Rathmines Public School, Secret Corner Rd, RATHMINES NSW 2283"
Rutherford HUNTER PPVC,"Maitland City Salvos, 1A Bunning Ave, RUTHERFORD NSW 2320"
Sandy Hollow,"Sandy Hollow Public School, 1581 Golden Hwy, SANDY HOLLOW NSW 2333"
Singleton,"Singleton Public School, 8 Hunter St, SINGLETON NSW 2330"
Singleton Heights,"Singleton Heights Public School, 1-13 Dorsman Dr, SINGLETON HEIGHTS NSW 2330"
Singleton PPVC,"Singleton Youth Venue, cnr Pitt & Bathurst St, SINGLETON NSW 2330"
Singleton South,"Singleton High School, 75-81 York St, SINGLETON NSW 2330"
Teralba,"Teralba Public School, 57 York St, TERALBA NSW 2284"
Toronto,"Toronto Public School, 31 Renwick St, TORONTO NSW 2283"
Toronto PPVC,"Toronto Amateur Sailing Club Inc, 27 Victory Row, TORONTO NSW 2283"
Wallsend HUNTER PPVC,"Maryland Conference Centre, 207 Maryland Dr, MARYLAND NSW 2287"
Wangi Wangi,"Wangi Wangi Public School, 37 Dobell Dr, WANGI WANGI NSW 2267"
West Wallsend,"West Wallsend High School, 20 Appletree Rd, WEST WALLSEND NSW 2286"
