PollingPlace,Address
Bankstown BLAXLAND PPVC,"Bankstown Senior Citizens Centre, 7 West Tce, BANKSTOWN NSW 2200"
Bankstown Central (Blaxland),"Bankstown Senior Citizens Centre, 7 West Tce, BANKSTOWN NSW 2200"
Bankstown East,"St Paul's Anglican Church, 459 Chapel Rd, BANKSTOWN NSW 2200"
Bankstown North,"Bankstown North Public School, 322 Hume Hwy, BANKSTOWN NSW 2200"
Bankstown West,"Bankstown West Public School, 141 William St, BANKSTOWN NSW 2200"
Bass Hill,"Bass Hill Public School, 611 Hume Hwy, BASS HILL NSW 2197"
Bass Hill Central,"George Bass School, 92-106 Johnston Rd, BASS HILL NSW 2197"
Bass Hill West,"Bass High School, 10 Arundle Rd, BASS HILL NSW 2197"
Berala,"Berala Public School, 32 Auburn Rd, BERALA NSW 2141"
Berala BLAXLAND PPVC,"Berala Community Centre, 98-104 Woodburn Rd, BERALA NSW 2141"
Berala South,"St Peter Chanel Catholic Church, 62 Kingsland Rd, BERALA NSW 2141"
Birrong,"Birrong Public School, 132 Auburn Rd, BIRRONG NSW 2143"
Central Sydney BLAXLAND PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Chester Hill,"Chester Hill Community Centre, cnr Wellington Rd & Chester Hill Rd, CHESTER HILL NSW 2162"
Chester Hill Central,"St John Mark's Anglican Church, 125 Proctor Pde, CHESTER HILL NSW 2162"
Chester Hill North,"Chester Hill High School, 123 Miller Rd, CHESTER HILL NSW 2162"
Chester Hill North East,"Chester Hill North Public School, 16 Wolumba St, CHESTER HILL NSW 2162"
Condell Park,"Condell Park Public School, 76 Augusta St, CONDELL PARK NSW 2200"
Condell Park North,"Condell Park Anglican Church, 195 Edgar St, CONDELL PARK NSW 2200"
Condell Park South,"Bankstown Senior College, Antwerp St, BANKSTOWN NSW 2200"
Condell Park West,"Condell Park High School, 2A Third Ave, CONDELL PARK NSW 2200"
EAV Blaxland PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
EAV COVID19 Blaxland PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
Fairfield BLAXLAND PPVC,"Fairfield City Leisure Centre, 44 Vine St, FAIRFIELD NSW 2165"
Georges Hall,"Georges Hall Public School, 16 Pennington Ave, GEORGES HALL NSW 2198"
Granville East (Blaxland),"Granville East Public School, 210 The Trongate, SOUTH GRANVILLE NSW 2142"
Granville South (Blaxland),"Blaxcell Street Public School, 352 Blaxcell St, SOUTH GRANVILLE NSW 2142"
Guildford North (Blaxland),"Granville South Public School, 276 Woodville Rd, GUILDFORD NSW 2161"
Guildford South,"Granville South Creative and Performing Arts High School, 53 Rowley Rd, GUILDFORD NSW 2161"
Haymarket BLAXLAND PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Lidcombe (Blaxland),"Lidcombe Public School Hall, 1 Mills St, LIDCOMBE NSW 2141"
Lidcombe South (Blaxland),"St Stephen's Anglican Church Hall, 2 Taylor St, LIDCOMBE NSW 2141"
Milperra,"Milperra Public School, 22 Pozieres Ave, MILPERRA NSW 2214"
Padstow BLAXLAND PPVC,"Padstow TAFE, Block C Dining Room, Raine Rd, PADSTOW NSW 2211"
Parramatta BLAXLAND PPVC,"33-35 Dixon St, PARRAMATTA NSW 2150"
Regents Park,"Regents Park Public School, 1 Auburn Rd, REGENTS PARK NSW 2143"
Revesby North (Blaxland),"Revesby Public School, 67 Victoria St, REVESBY NSW 2212"
Sefton,"Immaculate Heart of Mary School, 30 Proctor Pde, SEFTON NSW 2162"
Silverwater (Blaxland),"Auburn North Public School, 100 Adderley St, AUBURN NSW 2144"
Sydney BLAXLAND PPVC,"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Villawood East,"Villawood East Public School, 7 Lowana St, VILLAWOOD NSW 2163"
Yagoona,"Yagoona Public School, 425 Hume Hwy, YAGOONA NSW 2199"
Yagoona West,"Yagoona Anglican Church, 211 Auburn Rd, YAGOONA NSW 2199"
Asquith (Bradfield),"Asquith Public School, 3 Dudley St, ASQUITH NSW 2077"
Castle Cove,"Castle Cove Public School, 2 Kendall Rd, CASTLE COVE NSW 2069"
Central Sydney (Bradfield),"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Central Sydney BRADFIELD PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Chatswood (Bradfield),"The Meridian, 658 Pacific Hwy, CHATSWOOD NSW 2067"
Chatswood BRADFIELD PPVC,"The Meridian, 658 Pacific Hwy, CHATSWOOD NSW 2067"
Chatswood West (Bradfield),"Chatswood High School, 24 Centennial Ave, CHATSWOOD NSW 2067"
Crows Nest BRADFIELD PPVC,"Northside Conference Centre, Oxley St, ST LEONARDS NSW 2065"
EAV Bradfield PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
EAV COVID19 Bradfield PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
Gordon,"St John's Anglican Church Hall, 754 Pacific Hwy, GORDON NSW 2072"
Gordon East,"Gordon East Public School, 66-70 Rosedale Rd, GORDON NSW 2072"
Gordon PPVC,"2nd Gordon Scout Hall, 32C Rosedale Rd, GORDON NSW 2072"
Gordon West,"Gordon West Public School, 146 Ryde Rd, WEST PYMBLE NSW 2073"
Haymarket BRADFIELD PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Hornsby (Bradfield),"TAFE NSW Hornsby (Northern Sydney Institute), 205 Peats Ferry Rd, HORNSBY NSW 2077"
Hornsby BRADFIELD PPVC,"TAFE NSW Hornsby (Northern Sydney Institute), 205 Peats Ferry Rd, HORNSBY NSW 2077"
Hornsby Central (Bradfield),"Hornsby Girls High School, 12 Edgeworth David Ave, HORNSBY NSW 2077"
Hornsby East,"Salvation Army Hornsby, 29-31 Burdett St, HORNSBY NSW 2077"
Hornsby West (Bradfield),"Hornsby War Memorial Hall, 2 High St, HORNSBY NSW 2077"
Killara,"St Albans Anglican Church, 1-3 Tryon Rd, LINDFIELD NSW 2070"
